,BlockHeight,uusd_burnt,uluna_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
243,7594585.0,132644.0,99568.41903692295,0.2146444571420451,6371135.496864597,44348938.12169265,56371135.496864595,1.0462423892481432,0.7538971203026287
244,7594586.0,133174.0,100592.45780247157,0.20972492084340116,6195052.88580235,44487901.89913005,56195052.88580235,1.0477593519663744,0.750896530297913
245,7594587.0,132049.0,98480.83518003215,0.21859146188658896,6513540.630694961,44237185.85138764,56513540.63069496,1.0496290055870936,0.7572907091958867
246,7594588.0,132519.0,98073.37690439505,0.22320074046190805,6681052.603820518,44106449.77738982,56681052.60382052,1.0496290055870936,0.7546070939364748
247,7594589.0,132601.0,96227.63075426711,0.23829147307634632,7240227.984405122,43675577.26501571,57240227.98440512,1.0496290055870936,0.7541387284816019
248,7594590.0,133745.0,97738.06784107641,0.23295292567174156,7040090.439985332,43828822.51265664,57040090.439985335,1.0496290055870936,0.7476871468779583
249,7594591.0,132826.0,97209.56076984518,0.23182227422032778,6998402.639223203,43860878.27450161,56998402.6392232,1.051659101480683,0.752859647444876
250,7594592.0,134732.0,99060.14736349542,0.2267797882549235,6811438.870432541,44005222.35850503,56811438.87043254,1.051831507110242,0.742211016490147
251,7594593.0,133402.0,98718.71065103784,0.22163498145409347,6623644.509006112,44151167.26727771,56623644.50900611,1.051831507110242,0.7496123965040379
252,7594594.0,131817.0,97681.26137629677,0.22055403802347434,6584922.839339234,44181380.38463381,56584922.839339234,1.051831507110242,0.758623003278685
253,7594595.0,132604.0,98900.79578230057,0.21550652256267178,6402141.674451414,44324558.00047093,56402141.67445141,1.051831507110242,0.7541224324146153
254,7594596.0,133108.0,99234.93822553338,0.2158365039535225,6413830.562174193,44315373.99760024,56413830.56217419,1.0489168796378707,0.7512645315019674
255,7594597.0,132717.0,99753.04911054886,0.2116107431044992,6262319.819488002,44434712.39758685,56262319.819488004,1.0520103851650175,0.753480189411251
256,7594598.0,132056.0,98251.86167286077,0.21728676590502305,6466376.422729906,44274135.48346008,56466376.42272991,1.0424149799917422,0.7572543356196552
257,7594599.0,132946.0,99266.41039889902,0.22166298188873385,6624832.453874623,44150241.01018659,56624832.453874625,1.0424149799917422,0.7521806371458873
258,7594600.0,132152.0,99076.79695442524,0.21848222263081093,6509678.671912459,44240209.089042276,56509678.67191246,1.0424149799917422,0.7567001427699533
259,7594601.0,132943.0,99723.41722197647,0.2180619967342789,6494184.633056609,44252342.36476027,56494184.63305661,1.0377233673078377,0.7521985372648405
