,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
113,7594455.0,91407.0,94999.56617861283,0.05,4764638.890727862,45649894.724737644,54764638.89072786,1.094003121707399,0.7608358240021356
114,7594456.0,91627.0,95228.21283104966,0.05,4814240.228477951,45608586.19182613,54814240.228477955,1.0913711074676111,0.7649546368117441
115,7594457.0,91433.0,94797.96774563177,0.05,5003490.623760408,45451660.82459592,55003490.62376041,1.093695017339365,0.7678976029248561
116,7594458.0,90789.0,94330.70308276244,0.05,5030435.193057197,45429406.313606754,55030435.193057194,1.101445257703667,0.7706124487723519
117,7594459.0,90789.0,94999.15782657532,0.05,5076239.316960244,45391624.97302438,55076239.316960245,1.101445257703667,0.7708307754922825
118,7594460.0,90789.0,94999.15782657532,0.05,5108595.012238429,45364974.36461234,55108595.01223843,1.101445257703667,0.7681499519084244
119,7594461.0,90739.0,94946.83917683439,0.05,5128835.132664799,45348318.96926308,55128835.1326648,1.1020598,0.7682585593803732
120,7594462.0,90185.0,94419.79990984997,0.05,5129451.276303483,45347812.142555915,55129451.276303485,1.1088244795964644,0.77163817010246
121,7594463.0,89937.0,94738.12986039385,0.05,4986968.758002386,45465317.628300235,54986968.758002385,1.111878717954654,0.7662602703493157
122,7594464.0,89937.0,94999.08444385332,0.05,5193693.904903688,45295029.61529247,55193693.90490369,1.111878717954654,0.7774203336682894
123,7594465.0,89937.0,94999.08444385332,0.05,5064372.568667604,45401407.178160325,55064372.568667606,1.111878717954654,0.7784416259412145
124,7594466.0,89537.0,94576.57053103058,0.05,5050925.986177722,45412496.7966516,55050925.98617772,1.1168542760898073,0.7736149304966937
125,7594467.0,88484.0,93882.54707725397,0.05,5044938.347027118,45417436.6449267,55044938.347027116,1.1301472164366904,0.7888374475148812
126,7594468.0,88484.0,94999.94898422489,0.05,5093887.30976516,45377084.865037024,55093887.30976516,1.1301472164366904,0.7740234836579813
127,7594469.0,88484.0,94999.94898422489,0.05,4999573.829161026,45454897.66457951,54999573.829161026,1.1301472164366904,0.7841263655805667
128,7594470.0,88484.0,94999.94898422489,0.05,5031431.23669501,45428584.062211305,55031431.23669501,1.1301472164366904,0.7800663137251387
129,7594471.0,88870.0,95414.37396849225,0.05,4891669.2578979265,45544251.683333434,54891669.25789793,1.1252304517196865,0.7766725943295896
130,7594472.0,88656.0,94770.5093812775,0.05,5047182.532876523,45415585.04846081,55047182.53287652,1.1279507659824133,0.7819225330814716
131,7594473.0,88656.0,94999.62295348999,0.05,4910747.506089402,45528427.74035737,54910747.506089404,1.1279507659824133,0.7811371001269949
132,7594474.0,88656.0,94999.62295348999,0.05,4967512.79257534,45481410.25470747,54967512.79257534,1.1279507659824133,0.7754697469323606
133,7594475.0,88656.0,94999.62295348999,0.05,4977818.774036825,45472884.44227293,54977818.774036825,1.1279507659824133,0.7825998339342112
134,7594476.0,88488.0,94819.6020112392,0.05,5009983.735058519,45446295.931309655,55009983.735058516,1.1300859521136046,0.775928761944772
135,7594477.0,88101.0,94583.61734380265,0.05,4870817.520195782,45561559.18544222,54870817.52019578,1.1350576366807106,0.7755132988423096
136,7594478.0,88101.0,94999.72720674693,0.05,4781235.92966914,45636064.202889174,54781235.92966914,1.1350576366807106,0.7801716542299755
137,7594479.0,88101.0,94999.72720674693,0.05,4859717.537641747,45570777.83502323,54859717.53764175,1.1350576366807106,0.782882493316634
138,7594480.0,88101.0,94999.72720674693,0.05,5001069.450877826,45453661.6280304,55001069.45087782,1.1350576366807106,0.7823602672816122
139,7594481.0,88580.0,95516.23518431847,0.05,4864533.181324272,45566777.93534918,54864533.18132427,1.128915208645365,0.7786064307689139
140,7594482.0,88147.0,94534.96445163985,0.05,5668617.43074439,44908605.87853063,55668617.43074439,1.1344631586162055,0.7808657846647918
141,7594483.0,87970.0,94808.78786029424,0.05,5514193.371324348,45033528.331717886,55514193.371324345,1.136743048205238,0.7814513943957776
142,7594484.0,88554.0,95629.98669622831,0.05,5508691.2623852985,45037992.12600227,55508691.2623853,1.1292479348829505,0.7738804296267874
143,7594485.0,88554.0,94999.45054434356,0.05,5511084.1753697395,45036050.67597022,55511084.17536974,1.1292479348829505,0.772728313980931
144,7594486.0,88478.0,94917.918843445,0.05,6102569.587927356,44561238.7875006,56102569.58792736,1.130214252352697,0.7629871604501061
145,7594487.0,88393.0,94907.87698780136,0.05,6093749.74946974,44568245.32440235,56093749.74946974,1.1313001019309528,0.7489423999122355
